DoB,day,month ,year
3-6-1974,3,6,1974
20-11-1963,20,11,1963
22-11-1960,22,11,1960
25-8-1962,25,8,1962
3-11-1960,3,11,1960
16-8-1955,16,8,1955
26-7-1978,26,7,1978
27-5-1986,27,5,1986
15-7-1947,15,7,1947
13-10-1964,13,10,1964
8-4-2008,8,4,2008
1-11-1991,1,11,1991
14-1-2017,14,1,2017
4-4-1953,4,4,1953
27-3-1965,27,3,1965
17-9-1993,17,9,1993
16-12-1994,16,12,1994
5-2-1986,5,2,1986
15-4-1985,15,4,1985
3-8-1987,3,8,1987
27-12-2005,27,12,2005
8-6-2000,8,6,2000
6-1-1941,6,1,1941
10-3-1942,10,3,1942
1-8-1971,1,8,1971
8-9-2012,8,9,2012
12-5-2016,12,5,2016
14-3-1999,14,3,1999
2-2-1973,2,2,1973
28-10-1975,28,10,1975
14-11-1999,14,11,1999
9-11-1979,9,11,1979
10-5-1958,10,5,1958
26-1-2008,26,1,2008
5-5-1983,5,5,1983
9-3-1979,9,3,1979
16-12-1979,16,12,1979
19-4-1952,19,4,1952
22-4-1994,22,4,1994
12-6-1998,12,6,1998
7-5-1940,7,5,1940
23-4-1980,23,4,1980
12-2-2015,12,2,2015
2-4-1997,2,4,1997
9-7-1972,9,7,1972
26-9-1949,26,9,1949
5-10-2013,5,10,2013
15-4-1956,15,4,1956
15-1-1951,15,1,1951
22-9-1986,22,9,1986
14-3-1991,14,3,1991
18-11-2018,18,11,2018
18-6-1992,18,6,1992
3-4-1966,3,4,1966
14-4-1997,14,4,1997
13-9-1948,13,9,1948
17-7-1942,17,7,1942
28-2-1994,28,2,1994
24-7-2013,24,7,2013
23-3-1943,23,3,1943
25-11-1979,25,11,1979
24-3-1964,24,3,1964
25-11-1994,25,11,1994
21-5-1957,21,5,1957
6-3-1951,6,3,1951
27-5-2006,27,5,2006
3-6-1985,3,6,1985
9-2-1948,9,2,1948
7-12-1956,7,12,1956
17-10-1968,17,10,1968
23-8-2003,23,8,2003
11-8-1997,11,8,1997
28-12-2017,28,12,2017
9-2-1996,9,2,1996
5-10-2014,5,10,2014
15-7-2013,15,7,2013
1-12-1994,1,12,1994
4-7-1980,4,7,1980
27-7-1947,27,7,1947
18-12-1960,18,12,1960
15-11-1981,15,11,1981
11-2-1958,11,2,1958
26-9-1968,26,9,1968
15-1-1943,15,1,1943
3-2-1979,3,2,1979
9-9-1956,9,9,1956
26-3-1959,26,3,1959
11-5-1949,11,5,1949
22-2-2009,22,2,2009
6-4-1994,6,4,1994
19-12-1973,19,12,1973
26-3-1993,26,3,1993
10-2-1966,10,2,1966
20-6-2007,20,6,2007
4-4-1986,4,4,1986
18-2-1974,18,2,1974
12-8-2004,12,8,2004
23-9-2018,23,9,2018
12-3-1993,12,3,1993
10-4-1958,10,4,1958
12-4-1946,12,4,1946
23-6-2011,23,6,2011
23-9-1959,23,9,1959
12-12-1985,12,12,1985
2-4-2009,2,4,2009
17-12-1984,17,12,1984
24-9-1986,24,9,1986
13-7-1955,13,7,1955
4-2-1992,4,2,1992
28-2-2010,28,2,2010
17-4-2013,17,4,2013
15-12-1978,15,12,1978
21-10-1974,21,10,1974
26-4-2008,26,4,2008
18-8-1942,18,8,1942
24-1-1972,24,1,1972
3-7-1985,3,7,1985
10-5-1946,10,5,1946
4-3-1945,4,3,1945
23-12-1992,23,12,1992
1-9-2015,1,9,2015
3-11-1961,3,11,1961
9-2-2008,9,2,2008
27-4-1970,27,4,1970
7-5-1982,7,5,1982
1-9-1988,1,9,1988
14-5-1998,14,5,1998
20-5-1977,20,5,1977
13-4-1961,13,4,1961
23-1-1946,23,1,1946
10-7-1940,10,7,1940
26-6-1989,26,6,1989
28-5-1941,28,5,1941
6-5-1961,6,5,1961
22-3-1941,22,3,1941
18-12-1979,18,12,1979
28-7-2012,28,7,2012
24-10-1988,24,10,1988
26-6-1995,26,6,1995
14-4-1990,14,4,1990
21-7-1940,21,7,1940
1-4-2014,1,4,2014
14-2-1970,14,2,1970
28-7-1957,28,7,1957
12-8-1996,12,8,1996
2-8-2005,2,8,2005
9-3-2008,9,3,2008
23-5-1992,23,5,1992
11-9-1995,11,9,1995
17-5-1974,17,5,1974
25-3-1943,25,3,1943
22-12-1989,22,12,1989
2-9-1994,2,9,1994
6-9-1949,6,9,1949
1-10-1993,1,10,1993
22-12-1950,22,12,1950
3-8-1979,3,8,1979
5-4-1976,5,4,1976
19-4-1956,19,4,1956
3-3-1958,3,3,1958
5-1-1981,5,1,1981
19-6-1992,19,6,1992
20-4-2016,20,4,2016
4-7-2010,4,7,2010
25-10-2009,25,10,2009
24-12-1986,24,12,1986
14-7-1958,14,7,1958
10-3-1946,10,3,1946
13-5-1943,13,5,1943
15-7-1999,15,7,1999
27-1-1945,27,1,1945
20-2-1980,20,2,1980
4-3-1967,4,3,1967
25-11-1941,25,11,1941
10-11-2005,10,11,2005
13-7-1954,13,7,1954
14-8-2001,14,8,2001
14-10-1941,14,10,1941
28-6-1956,28,6,1956
27-6-1947,27,6,1947
17-5-2009,17,5,2009
22-11-1972,22,11,1972
16-7-2009,16,7,2009
26-3-1988,26,3,1988
22-4-2004,22,4,2004
21-2-1959,21,2,1959
27-9-1960,27,9,1960
1-12-2013,1,12,2013
11-11-2005,11,11,2005
22-2-1990,22,2,1990
26-1-1943,26,1,1943
18-1-1986,18,1,1986
12-11-1971,12,11,1971
1-10-1944,1,10,1944
12-7-1988,12,7,1988
28-4-2016,28,4,2016
25-1-1969,25,1,1969
17-9-2000,17,9,2000
17-9-1997,17,9,1997
6-2-1979,6,2,1979
1-2-1952,1,2,1952
23-4-1955,23,4,1955
5-11-2010,5,11,2010
10-5-1957,10,5,1957
4-6-1993,4,6,1993
19-1-2017,19,1,2017
6-10-1944,6,10,1944
10-12-1960,10,12,1960
5-7-2016,5,7,2016
21-11-1987,21,11,1987
9-9-2003,9,9,2003
24-6-2007,24,6,2007
3-3-2012,3,3,2012
22-4-2008,22,4,2008
13-7-2011,13,7,2011
20-12-1981,20,12,1981
19-5-1984,19,5,1984
26-9-1946,26,9,1946
2-11-1940,2,11,1940
22-12-1992,22,12,1992
24-6-2007,24,6,2007
2-1-1970,2,1,1970
21-4-1944,21,4,1944
2-10-1997,2,10,1997
17-12-1988,17,12,1988
25-1-1944,25,1,1944
12-3-2011,12,3,2011
1-12-1950,1,12,1950
11-9-1947,11,9,1947
1-10-1987,1,10,1987
17-10-1981,17,10,1981
16-12-2009,16,12,2009
9-6-1959,9,6,1959
11-8-1963,11,8,1963
22-12-1964,22,12,1964
15-1-1956,15,1,1956
14-5-1976,14,5,1976
15-1-1945,15,1,1945
12-12-2006,12,12,2006
23-7-1960,23,7,1960
15-6-2000,15,6,2000
11-12-1945,11,12,1945
1-11-1989,1,11,1989
2-3-1989,2,3,1989
25-4-1961,25,4,1961
16-3-1984,16,3,1984
22-6-2005,22,6,2005
18-2-1990,18,2,1990
1-1-1973,1,1,1973
16-4-2010,16,4,2010
22-8-1973,22,8,1973
5-11-1990,5,11,1990
7-7-2001,7,7,2001
22-2-2006,22,2,2006
1-2-1999,1,2,1999
18-5-1973,18,5,1973
22-5-1955,22,5,1955
27-10-1942,27,10,1942
25-1-2003,25,1,2003
14-10-2011,14,10,2011
21-12-2015,21,12,2015
17-10-1979,17,10,1979
1-3-2003,1,3,2003
16-11-2017,16,11,2017
5-3-1991,5,3,1991
28-7-1955,28,7,1955
22-4-1977,22,4,1977
21-4-1961,21,4,1961
23-4-1944,23,4,1944
12-5-1996,12,5,1996
21-6-1987,21,6,1987
6-8-1965,6,8,1965
5-9-1998,5,9,1998
19-7-1949,19,7,1949
13-6-1990,13,6,1990
7-9-1985,7,9,1985
18-11-1976,18,11,1976
3-6-1947,3,6,1947
28-2-1996,28,2,1996
24-3-1943,24,3,1943
7-7-1963,7,7,1963
4-2-1988,4,2,1988
25-10-1959,25,10,1959
10-8-1950,10,8,1950
5-10-1994,5,10,1994
15-5-1990,15,5,1990
14-8-1962,14,8,1962
23-5-1951,23,5,1951
25-10-1999,25,10,1999
25-10-1963,25,10,1963
23-4-1971,23,4,1971
8-5-1984,8,5,1984
14-5-1955,14,5,1955
