Postcode,Area,City,StreetNumber,StreetName,FullAddress
3020,Lansdowne,Auckland,21,Havelock Street,"21 Hopkins Crescent, Kohimarama, Auckland"
3025,Lawyers Head,Blenheim,1,Bridge Street,"1 Corinth Place, Sunnybrook, Rotorua"
3040,Leamington,Tokoroa,68,Garvan Glen,"68 Kennedys Bush Road, Halswell, Christchurch"
3041,Leith Valley,Lower Hutt,10,Cambrian Street,"10 Solway Street, Solway, Masterton"
3042,Liberton,Auckland,7,Bellville Drive,"7 Sanders Avenue, Westown, New Plymouth"
3043,Linton,Ngaruawahia,105,Chilcott Road,"105 Shelly Beach Road, Saint Marys Bay, Auckland"
3044,Linton Camp,Te Puke,2,McMurdo Street,"2 Watene Crescent, Waitara"
3045,Linwood,Lower Hutt,33,Clinker Street,"33 Falcon Street, Newfield, Invercargill"
3046,Little Valley,Hamilton,716,Johnston Street,"716 Moonshine Hill Road, Moonshine Valley"
3047,Long Bay,Auckland,64,Barbados Drive,"64 Hill Street, Tuai"
3048,Longburn,Blenheim,728,Elizabeth Avenue,"728 Redoubt Road, Flat Bush, Auckland"
3049,Longlands,Kaiapoi,12,Herbert Street,"12 Kuaka Road, Oneroa, Waiheke Island"
3060,Lookout Point,Auckland,41,Milmoe Street,"41 Lomond Crescent, Queenstown"
3062,Lower Vogeltown,Waitara,42,Wairau Road,"42 Guy Road, Mosgiel"
3072,Lowry Bay,Hastings,352,Onerahi Road,"352 Hamurana Road, Ngongotaha, Rotorua"
3073,Lucas Heights,Orewa,63C,Great North Road,"63C Field Lane, Waitoki"
3074,Lyall Bay,Palmerston North,395,Watts Road,"395 Thames Highway, Oamaru North, Oamaru"
3076,Lynfield,Invercargill,570,Wallace Road,"570 Gloucester Road, Papamoa Beach, Papamoa"
3077,Lynmouth,Gore,100,Majoribanks Street,"100 Mellons Bay Road, Mellons Bay, Auckland"
3078,Lytton West,Auckland,14,Success Court,"14 Massey Street, Elderslea, Upper Hutt"
3079,Macandrew Bay,Mosgiel,62C,Dinton Street,"62C Peter Buck Road, New Windsor, Auckland"
3081,Maeroa,Whangaparaoa,29,Ravello Rise,"29 Holloway Street, Carterton"
3083,Mahora,Auckland,41,Pirinoa Street,"41 Karewa Parade, Papamoa Beach, Papamoa"
3110,Maia,Whangarei,61,Wanstead Way,"61 Waitaki Street, Bexley, Christchurch"
3112,Maidstone,Auckland,177,Vigor Brown Street,"177 Meremere Road, Mokoia"
3114,Mairangi Bay,Twizel,520/145,Astrolabe Street,"520/145 Nelson Street, Auckland Central, Auckland"
3116,Mairehau,Auckland,20,Mill Street,"20 Goodwin Street, Tirau"
3118,Maitai,New Plymouth,02 Jul,Nairn Street,"2/7 Beveridge Street, Christchurch Central, Christchurch"
3119,Makaraka,Putaruru,20,Helleur Road,"20 Nottingham Avenue, Awapuni, Palmerston North"
3120,Mana,Wanaka,717,Elgin Road,"717 West Coast Road, Oratia, Auckland"
3121,Mangapapa,Akaroa,245,Annandale Street,"245 Crinan Street, Appleby, Invercargill"
3122,Mangaroa,Wanaka,245,Eastglen Road,"245 Victoria Avenue, Hokowhitu, Palmerston North"
3123,Mangawhai Heads,Christchurch,35A,Avonleigh Road,"35A Spencer Street, Crofton Downs, Wellington"
3127,Mangere,Christchurch,9,Normanby Street,"9 Rowses Road, Aranui, Christchurch"
3129,Mangere Bridge,Hamilton,23,Oxford Street,"23 MacAulay Street, Gleniti, Timaru"
3140,Mangere East,Blenheim,22,Tauwhareparae Road,"22 Spinnaker Drive, Te Atatu Peninsula, Auckland"
3141,Manly,Blenheim,13,Glenfiddich Road,"13 McQuarrie Avenue, Wattle Downs, Auckland"
3142,Manor Park,Auckland,11,Castor Bay Road,"11 Oolong Court, Huntington, Hamilton"
3143,Manukau,Gisborne,4,Watersons Line,"4 Lewis Street, Hoon Hay, Christchurch"
3144,Manunui,Auckland,23,Mary Street,"23 Lucinda Place, Glen Eden, Auckland"
3145,Manurewa,Auckland,1,Wetherby Grove,"1 Lincoln Road, Hillmorton, Christchurch"
3146,Manurewa East,Richmond,3,Heke Street,"3 Guardwell Terrace, Mount Albert, Auckland"
3147,Maori Hill,Alexandra,17,Fairchild Avenue,"17 The Circle, Manly, Whangaparaoa"
3148,Maoribank,Papakura,80,Tasman Street,"80 Vista Paku, Pauanui"
3149,Maraenui,Christchurch,108,Colombo Road,"108 Medhurst Road, Mangatawhiri"
3150,Maraetai,Hamilton,7,Seaforth Road,"7 Upham Crescent, Taradale, Napier"
3151,Marchwiel,Wellington,9,Aviemore Drive,"9 Fernhill Place, Karoro, Greymouth"
3152,Marewa,Auckland,May 74,Mangakahia Road,"5/74 Birch Street, Hilltop, Taupo"
3153,Marfell,Christchurch,59,Carmichael Road,"59 St Vincent Avenue, Remuera, Auckland"
3154,Marsden,Leeston,34,Walker Crescent,"34 Sovereign Place, Glenfield, Auckland"
3158,Marybank,Auckland,71,Welcome Bay Road,"71 Cassidy Avenue, Lincoln"
3159,Maryhill,New Plymouth,916,Caroline Heights,"916 Main Rakaia Road, Southbridge"
3160,Massey,Auckland,18,Wilson Road,"18 Jellicoe Road, Manurewa, Auckland"
3161,Matakatia,Auckland,04 Feb,Roy Crescent,"4/2 Kingsway Avenue, Sandringham, Auckland"
3162,Maungaraki,Hastings,12,Newnham Street,"12 Okoromai Views, Gulf Harbour, Whangaparaoa"
3163,Maunu,Eltham,80,Pharazyn Street,"80 Broadway, Waitara"
3164,Maupuia,Wellington,12,Palisade Place,"12 Woodlark Close, Weymouth, Auckland"
3166,Mayfair,Auckland,10,Range Road,"10 William Woods Court, Flat Bush, Auckland"
3167,Mayfield,Paraparaumu,302,Esdaile Road,"302 Aickin Road, Whangamata"
3168,Meadowbank,Auckland,15C,Tombleson Road,"15C Moffitt Place, Mangere East, Auckland"
3169,Mechanics Bay,Auckland,150A,Skerman Street,"150A Beach Road, Kaikoura"
3171,Meeanee,Ashburton,59,Harper Street,"59 Spottiswoode Street, Tainui, Dunedin"
3172,Melling,Auckland,16,Weldene Avenue,"16 MacLean Street, Wallaceville, Upper Hutt"
3173,Mellons Bay,Nelson,109,Captain Scott Road,"109 Northwood Avenue, Mahora, Hastings"
3175,Melrose,Auckland,27,Forbes Street,"27 Kitenui Avenue, Mount Albert, Auckland"
3176,Melville,Stewart Island,44,Menin Road,"44 Wroxton Terrace, Merivale, Christchurch"
3177,Merivale,Te Awamutu,41,Durham Road,"41 Streamside Court, Woolston, Christchurch"
3178,Merrilands,Christchurch,513,Tweed Street,"513 Bypass Road, Ranfurly"
3182,Middleton,Christchurch,483,Broom Street,"483 Marine Parade, Napier South, Napier"
3183,Milford,Hamilton,19D,Hunter Street,"19D Jones Crescent, Melville, Hamilton"
3186,Milson,Waiuku,9,Malcolm Terrace,"9 Carlyle Road, Mosgiel"
3187,Miramar,Kawakawa,12A,Brian Crescent,"12A Mail Avenue, Weymouth, Auckland"
3188,Mission Bay,Eketahuna,423C,Alma Road,"423C Youngson Road, Whakamarama"
3189,Moana,Napier,50,Dacre Street,"50 Cridges Road, Darfield"
3191,Moera,Hawera,3,Anderson Road,"3 Broken Hill Road, Kenepuru, Porirua"
3192,Monaco,Whanganui,57,Fordyce Avenue,"57 Balmain Road, Birkenhead, Auckland"
3193,Moncks Bay,Auckland,12A,Landing Drive,"12A Springfield Road, Springfield, Rotorua"
3194,Morningside,Morrinsville,115,Onslow Street,"115 Elsinore Close, Whangamata"
3196,Mornington,Waipu,5,Pakiri Road,"5 Cambrian Lane, Flagstaff, Hamilton"
3197,Motu Rimu,Whanganui,51,Settlement Road,"51 Revans Street, Featherston"
3198,Moturoa,Matamata,2/134,Turu Road,"2/134 Barrett Road, Temple View, Hamilton"
3199,Mount Albert,Christchurch,336,Pukaki Road,"336 King Street, Temuka"
3200,Mount Cook,Takaka,128,West Crescent,"128 Kura Road, Matiere"
3204,Mount Eden,Palmerston North,973,The Fairways,"973 Otewa Road, Otewa"
3206,Mount Pleasant,Motueka,70,Manners Street,"70 Princes Street, Northcote Point, Auckland"
3210,Mount Roskill,Christchurch,173,Andrew Baxter Drive,"173 Lees Gully Road, Pollok"
3214,Mount Victoria,Auckland,20,Taranui Place,"20 Rene Way, Huntington, Hamilton"
3216,Mount Wellington,Auckland,98,Chain Hills Road,"98 Khandallah Road, Khandallah, Wellington"
3218,Murrays Bay,Auckland,1316,Tollemache Place,"1316 Fergusson Drive, Brown Owl, Upper Hutt"
3225,Musselburgh,Rangiora,127A,Tawaki Avenue,"127A Green Road, Dairy Flat"
3240,Naenae,Christchurch,50,Epsom Avenue,"50 Herdman Street, Waterview, Auckland"
3241,Napier South,Tauranga,4,Horizon Way,"4 Atherton Place, Wanaka"
3242,Narrow Neck,Auckland,857,Leithfield Road,"857 Round Hill Road, Kia Ora"
3243,Nawton,Auckland,41,Tongariro Road,"41 Carisbrook Crescent, Papakura"
3244,Nelson Airport,Wellington,32,Eden Terrace,"32 Buckleton Road, Tawharanui Peninsula"
3245,Nelson South,Katikati,22,Scott Drive,"22 Braeburn Drive, Hornby, Christchurch"
3246,Netherby,Auckland,2C,Muritai Road,"2C Charlenne Close, Ranui, Auckland"
3247,New Brighton,Palmerston North,238,Lookout Drive,"238 Dowse Drive, Maungaraki, Lower Hutt"
3248,New Lynn,Westport,19A,Austin Street,"19A Franklin Avenue, Hokowhitu, Palmerston North"
3249,New Windsor,Palmerston North,21,Jutland Street,"21 McNaughten Road, Karioitahi"
3251,Newfield,Auckland,01 Jul,Palmer Avenue,"1/7 Pakuranga Road, Pakuranga, Auckland"
3252,Newlands,Whangarei,18,Chapman Street,"18 Myrtle Drive, Omokoroa"
3253,Newmarket,Rotorua,146,Whaanga Road,"146 Rolla Street, Normanby, Dunedin"
3254,Newtown,Auckland,7,Maungakawa Road,"7 Hobbs Grove, Epuni, Lower Hutt"
3255,Ngaio,Auckland,11,Acton Road,"11 Les Fisher Place, Pukekohe"
3256,Ngauranga,Auckland,91,Godley Road,"91 Ruskin Road, Newlands, Wellington"
3257,Nikau Valley,Auckland,13,Glenfield Crescent,"13 Wallace Street, Herne Bay, Auckland"
3260,Normanby,Paraparaumu,54,Wallis Road,"54 Upper Queen Street, Eden Terrace, Auckland"
3261,Normandale,Wellington,121,Milford Road,"121 Jickell Street, Hokowhitu, Palmerston North"
3262,North Dunedin,Levin,Jan 51,Colchester Place,"1/51 Stanley Avenue, Milford, Auckland"
3263,North East Valley,Hamilton,66,Church Road,"66 Margate Avenue, Flaxmere, Hastings"
3264,North New Brighton,Wellington,10,Chatsworth Place,"10 Strathmore Crescent, Roslyn, Dunedin"
3265,Northcote,Wellington,54,Tarr Road,"54 Milns Road, Halswell, Christchurch"
3266,Northcote Point,Palmerston North,23,Milburn Street,"23 Thompson Road, Bluff Hill, Napier"
3281,Northcross,Tauranga,43,Taniwha Street,"43 Charles Upham Avenue, Hillmorton, Christchurch"
3282,Northgate,Auckland,211,Glastry Close,"211 Victoria Avenue, Remuera, Auckland"
3283,Northland,New Plymouth,28,Rue Lavaud,"28 Rosetti Rise, West Harbour, Auckland"
3284,Northpark,Auckland,104,Mason Avenue,"104 Wellesley Road, Napier South, Napier"
3285,Northwood,Auckland,31,Rose Street,"31 Charles Street, Kamo, Whangarei"
3288,Nukuhau,Carterton,21A,Great South Road,"21A Shackleton Road, Mount Eden, Auckland"
3289,Oamaru North,Christchurch,24,Whangaparapara Road,"24 Esmeralda Avenue, Avondale, Auckland"
3290,Ocean Beach,Waihi Beach,4B,Alexandra Street,"4B Colonial Place, Kelvin Grove, Palmerston North"
3293,Ocean Grove,Opotiki,41,Waima Valley Road,"41 Kitenga Road, Flat Bush, Auckland"
3295,Ocean View,Auckland,108,Wainui Road,"108 Saddleback Rise, Murrays Bay, Auckland"
3296,Oceanview,Auckland,69,Friedlanders Road,"69 Victoria Street, Hamilton Central, Hamilton"
3297,Ohakea,Wellington,3,Gollan Road,"3 Mako Avenue, Whiritoa"
3300,Ohariu,Christchurch,10,Barton Road,"10 Kopiko Way, Brooklyn, Wellington"
3310,Okitu,Christchurch,5B,Higgins Street,"5B Peter Snell Street, Whakatane"
3320,Omiha,Auckland,172B,Porangahau Road,"172B Guppy Road, Taradale, Napier"
3330,One Tree Hill,Greymouth,160,Parekawa Drive,"160 Exmouth Road, Northcote, Auckland"
3332,Onehunga,Christchurch,183A,Salisbury Street,"183A Memorial Avenue, Burnside, Christchurch"
3334,Onekawa,Kaiapoi,105,Tiri Road,"105 Tui Road, Papatoetoe, Auckland"
3340,Onerahi,Dunedin,71,Bassant Avenue,"71 Belvedere Avenue, Waikanae"
3341,Oneroa,Te Awamutu,15,Sandspit Road,"15 Fiona Crescent, Feilding"
3342,Onetangi,Christchurch,6,Escalona Street,"6 South Street, Petone, Lower Hutt"
3343,Opaheke,Auckland,2,Omahu Road,"2 O'Rourke Place, Casebrook, Christchurch"
3351,Opawa,Waiouru,80,Arrowtown-Lake Hayes Road,"80 Mary Dreaver Street, New Windsor, Auckland"
3352,Opoho,Nelson,63,Seapoint Road,"63 St Andrews Road, Epsom, Auckland"
3353,Orakei,Palmerston North,3,Hereheretau Road,"3 Faulkland Drive, Witherlea, Blenheim"
3360,Oratia,Auckland,3,Hampshire Street,"3 Long Acre Drive, Wanaka"
3371,Oriental Bay,Auckland,70,Yaldhurst Road,"70 Mayfair Crescent, Mairangi Bay, Auckland"
3372,Ostend,Masterton,3/137,Tawhai Place,"3/137 Tamaki Drive, Mission Bay, Auckland"
3373,Otahuhu,Waitara,172,George Bolt Street,"172 Lamond Street East, Hargest, Invercargill"
3374,Otaihanga,Auckland,18,Coronation Road,"18 Onetaunga Road, Chatswood, Auckland"
3375,Otaki Beach,Hamilton,4070,Vigor Brown Street,"4070 Great North Road, Glen Eden, Auckland"
3377,Otamatea,Whangarei,22,Porter Crescent,"22 Majestic Chance, Seaward Bush, Invercargill"
3378,Otangarei,Dunedin,10A,Windoma Circle,"10A Eaton Road, Hillsborough, Auckland"
3379,Otara,Matamata,15A,Maude Street,"15A Tawera Road, Greenlane, Auckland"
3380,Oteha,Auckland,14B,West Coast Road,"14B Tawera Road, Greenlane, Auckland"
3381,Outer Kaiti,Christchurch,30,Rahuikiri Road,"30 Wharf Road, Pigeon Bay"
3382,Owhiro Bay,Auckland,53,Tay Street,"53 Andesite Drive, Rolleston"
3391,Pahurehure,Auckland,119,Snowdon Place,"119 Harper Road, Waimarama"
3392,Pakuranga,Hamilton,30,Tarras Grove,"30 Mill Road, Waitahanui"
3393,Pakuranga Heights,Whanganui,17,Clements Road,"17 Cedar Road, Te Awanga"
3400,Pakuratahi,Cambridge,11,Ngatiawa Street,"11 Johnson Road, Te Uri"
3401,Palm Beach,Lower Hutt,187,Country Way,"187 Harrisons Road, Te Oka"
3410,Pandora,Masterton,43,Lascelles Street,"43 The Bullock Track, Mahurangi West"
3411,Panmure,Mosgiel,336,Stone Street,"336 Apley Road, Puketapu"
3415,Papakowhai,Taumarunui,2A,Rakeiora Grove,"2A Totara Street, Waipukurau"
3420,Papanui,Opotiki,104,Rata Street,"104 Harbour View Road, Omokoroa"
3421,Paparangi,Christchurch,48,Weraroa Road,"48 Woodstock Road, Forrest Hill, Auckland"
3432,Papatoetoe,Auckland,503A,Mako View,"503A Alexandra Street, Hastings"
3434,Parahaki,Wellington,159G,Oropi Road,"159G Rutherglen Road, Marsden, Greymouth"
3440,Paraparaumu Beach,Invercargill,59,Racecourse Road,"59 Waitane Road, Oaro"
3441,Parau,Auckland,288,Landsdowne Terrace,"288 Kepa Road, Mission Bay, Auckland"
3442,Paremata,Auckland,18,Dey Street,"18 Dawson Road, Otara, Auckland"
3443,Paremoremo,Auckland,44,Villa Street,"44 Donnell Avenue, Favona, Auckland"
3444,Parklands,Auckland,366D,Taylor Road,"366D Huia Road, Titirangi, Auckland"
3445,Parkside,Christchurch,362,Meadway,"362 Rapson Road, Kaukapakapa"
3450,Parkvale,Waiuku,15,Every Street,"15 Rata Street, Halfmoon Bay, Stewart Island"
3451,Parnell,Auckland,11,Ambury Road,"11 Holsten Place, Massey, Auckland"
3471,Paroa,Auckland,7,Hamilton Avenue,"7 Cottrell Crescent, Onekawa, Napier"
3472,Penrose,Auckland,64A/30,Adams Street,"64A/30 Ambassador Glade, Orewa"
3473,Petone,Auckland,249,Landsdowne Road,"249 Logan Road, Buckland"
3474,Phillipstown,Temuka,48,Ngahuia Place,"48 Willcott Street, Mount Albert, Auckland"
3475,Pine Hill,Marton,64,Mill Road,"64 Stafford Street, Cambridge"
3481,Pinehaven,Auckland,99,Glucina Place,"99 Edgar Road, Orton"
3482,Pinehill,Auckland,302,Disraeli Street,"302 Cowan Road, Hunua"
3483,Pipitea,Nelson,12,Armitage Street,"12 Alloway Street, Avondale, Christchurch"
3484,Pirimai,Timaru,16,Oromahoe Road,"16 Mamaku Grove, Kaiwaka"
3485,Plimmerton,Paraparaumu,1507,Oak Tree Lane,"1507 Otautau Nightcaps Road, Wairio"
3491,Point Chevalier,Takapau,9,Poto Road,"9 Bell Street, Otaki"
3492,Point England,Ohakune,Jan 16,Kenrick Street,"1/16 Laurie Avenue, Papakura"
3493,Point Howard,Wellington,12,Baden Powell Place,"12 Barrie Street, Addington, Christchurch"
3494,Ponsonby,Paraparaumu,18,Stuart Road,"18 Memphis Grove, Totara Park, Upper Hutt"
3495,Poraiti,Auckland,63,Moa Street,"63 MacDonald Street, Marchwiel, Timaru"
3496,Porirua East,Dunedin,202,McCallum Drive,"202 Taieri Mouth Road, Kuri Bush"
3500,Port Nelson,Auckland,Jan 64,Garlands Road,"1/64 Hutt Road, Petone, Lower Hutt"
3503,Port Taranaki,Auckland,19,Falcon Street,"19 Hiwihau Place, Glenfield, Auckland"
3506,Port Whangarei,Auckland,9,Aurora Avenue,"9 Worcester Road, Meadowbank, Auckland"
3508,Portobello,Hamilton,99,Gift Street,"99 Onerahi Road, Onerahi, Whangarei"
3510,Prestonville,Palmerston North,27,Tui Road,"27 Sir William Pickering Drive, Burnside, Christchurch"
3540,Pukete,Bulls,43,Pompallier Terrace,"43 St James Avenue, Hanmer Springs"
3541,Putiki,Waiheke Island,35A,Kilmarnock Street,"35A Graham Street, Hamilton East, Hamilton"
3542,Queens Park,Auckland,16,St Bathans Loop Road,"16 Sherwood Lane, Cashmere, Christchurch"
3543,Queenwood,Hastings,122A,Astrid Lane,"122A Lyttelton Street, Spreydon, Christchurch"
3544,Rahu Saddle,Timaru,5,Rogers Street,"5 Sprott Road, Kohimarama, Auckland"
3545,Rainbow Point,Porirua,2,Matapihi Station Road,"2 Hill Street, Kaka Point"
3546,Randwick Park,Auckland,29,Great South Road,"29 Savage Avenue, Waihi Beach"
3547,Rangatira Park,Ruawai,728,Ambassador Glade,"728 Kane Road, Hawea Flat"
3574,Ranui,Auckland,68,Great South Road,"68 Onetaunga Road, Chatswood, Auckland"
3575,Ranui Heights,Auckland,35,Paroa Road,"35 Percy Cameron Street, Avalon, Lower Hutt"
3576,Rapahoe,Christchurch,30,Kaipi Road,"30 Girrahween Drive, Totara Vale, Auckland"
3577,Raumanga,Auckland,265,Awaruku Road,"265 Queens Drive, Lyall Bay, Wellington"
3578,Raumati Beach,Auckland,24,Davis Strongman Place,"24 Wharf Road, Coromandel"
3579,Raumati South,Winton,42,Kipling Avenue,"42 Hassan Drive, Massey, Auckland"
3581,Raureka,Waiheke Island,390,Tauranga-a-Ika Street,"390 Waihola Highway, Milburn"
3582,Ravensbourne,Ohaupo,44,Bracebridge Street,"44 Orly Avenue, Mangere, Auckland"
3583,Red Hill,Dunedin,40,Waikato Place,"40 Dorking Road, Brooklyn, Wellington"
3584,Redcliffs,Dunedin,02 Sep,Riverton Wallacetown Highway,"2/9 Melwood Drive, Warkworth"
3591,Redwood,Rangiora,41,Karaka Crescent,"41 Whittaker Road, Te Pahu"
3592,Redwoodtown,Dunedin,16,Tokomaru Drive,"16 Glendale Drive, Dinsdale, Hamilton"
3597,Regent,Auckland,13,Howick Road,"13 Clare Street, Cambridge"
3600,Remuera,Dunedin,1,Lippiatt Road,"1 Kestrel Lane, Kinloch"
3610,Riccarton,Ngaruawahia,180,Kenwood Drive,"180 Tutere Street, Waikanae Beach, Waikanae"
3611,Richmond,Auckland,60,Edinburgh Street,"60 Daltons Road, Newbury"
3620,Richmond Heights,Auckland,35A,Valintine Road,"35A Imlay Crescent, Ngaio, Wellington"
3640,Richmond Hill,Auckland,8,Bridge Street,"8 Totara View Crescent, Otematata"
3641,Riverdale,Auckland,9,Haven Road,"9 Hutchinsons Road, Bucklands Beach, Auckland"
3642,Riverlea,Auckland,39,Selwyn Street,"39 Canongate, Dunedin Central, Dunedin"
3643,Riversdale,Dunedin,35A,George Street,"35A Matai Road, Stanmore Bay, Whangaparaoa"
3671,Riverside,Auckland,222,Waller Avenue,"222 Rolleston Drive, Rolleston"
3672,Riverstone Terraces,Christchurch,56,East Coast Road,"56 Stuart Crescent, Masterton"
3673,Rockdale,Kaiapoi,458,Stamford Park Road,"458 Awahuri Feilding Road, Awahuri"
3674,Rongotai,Auckland,Mar 54,Matai Crescent,"3/54 Avenue Road, West End, Timaru"
3681,Rosedale,Hamilton,13,Northland Road,"13 Harrison Lane, Okaihau"
3682,Rosehill,Christchurch,91,Boucher Avenue,"91 Courtenay Drive, Kaiapoi"
3691,Roseneath,Auckland,46,Johnston Street,"46 Seaforth Road, Waihi Beach"
3700,Roslyn,Hastings,42,Westbourne Road,"42 Marbleleaf Lane, Albert Town"
3710,Rothesay Bay,Napier,32,Karitane Drive,"32 Rogers Road, Manurewa, Auckland"
3720,Rototuna,Kaiapoi,98,McBreen Avenue,"98 Moire Road, West Harbour, Auckland"
3721,Rototuna North,Taupo,6B,Elizabeth Place,"6B Beach Road, Orewa"
3740,Royal Oak,Auckland,18,Tasman Street,"18 Appaloosa Street, Karaka"
3741,Ruby Bay,Auckland,15,Federal Street,"15 St Josephs Court, Sydenham, Christchurch"
3742,Russley,Kumeu,8,State Highway 30,"8 Thyme Crescent, Alexandra"
3771,Rutherglen,Gore,57,Andros Place,"57 Main Street, Fairlie"
3772,Saint Albans,Pahiatua,23,Ballance Street,"23 Hercules Street, Shirley, Christchurch"
3781,Saint Andrews,Oamaru,21,Mathers Road,"21 Henderson Street, Mosgiel"
3782,Saint Clair,Auckland,84,Tarbert Street,"84 Park Road, Katikati"
3784,Saint Johns,Papakura,3,Fourth Avenue,"3 Thornton Green, Karaka"
3791,Saint Johns Hill,Christchurch,53,The Strand,"53 Berkeley Road, Wainuiomata, Lower Hutt"
3792,Saint Kilda,Murupara,10,Chestnut Court,"10 Bahama Place, Clover Park, Auckland"
3793,Saint Leonards,Wellington,46,Overdale Road,"46 Sevenoaks Drive, Bryndwr, Christchurch"
3794,Saint Martins,Lower Hutt,10,Taupo View Road,"10 Knowles Street, Terrace End, Palmerston North"
3800,Saint Marys Bay,Hamilton,165A,Dunkeld Drive,"165A Waikawa Road, Picton"
3802,Sandringham,New Plymouth,229,Strabo Place,"229 Pukeatua Road, Maungatapere"
3803,Sawyers Bay,Kerikeri,15,Great South Road,"15 Glamorgan Avenue, Tamatea, Napier"
3840,Schnapper Rock,Mosgiel,5,Elizabeth Street,"5 Waitorupai Way, Matapouri"
3841,Seatoun,Whangarei,02 Feb,Fountain Place,"2/2 Kamo Street, Dannevirke"
3843,Seaview,Auckland,38,Tawa Street,"38 Koppens Road, Tamahere"
3872,Seaward Bush,Lower Hutt,4,Silverhope Bush Road,"4 Horomatangi Place, Kuratau"
3873,Shamrock Park,Papakura,28,Highfields Terrace,"28 McCahon Place, Titirangi, Auckland"
3874,Shelly Park,Christchurch,52,Hibiscus Coast Highway,"52 Margaret Street, Glengarry, Invercargill"
3875,Shiel Hill,Auckland,71,Challinor Street,"71 Heretaunga Street, Palmerston North"
3876,Shirley,Palmerston North,241,Duke Street,"241 Buchanans Road, Yaldhurst, Christchurch"
3877,Silverdale,Oamaru,1210A,Peel Street,"1210A Carrington Road, Hurworth"
3878,Silverstream,Auckland,5820,East Tamaki Road,"5820 Kenepuru Road, Waitaria Bay"
3879,Smithfield,Pauanui,158,Mahara Avenue,"158 MacKenzie Drive, Twizel"
3880,Sockburn,Auckland,8,Kervil Avenue,"8 Vickerman Street, Otara, Auckland"
3881,Solway,Auckland,13,Graham Collins Drive,"13 Sheffield Street, Matamata"
3882,Somerfield,Wellington,2,Argelins Road,"2 Huanui Road, Glenbervie"
3883,Somerville,Christchurch,623,Charlemont Street,"623 Selwyn Road, Rolleston"
3885,South Dunedin,Auckland,28,Matipo Street,"28 Middleton Road, Johnsonville, Wellington"
3886,South Hill,Greymouth,22A,Pencarrow Street,"22A Vine Street, Mangere East, Auckland"
3889,South New Brighton,Milton,28,Rahiri Street,"28 East Road, Shannon"
3894,Southgate,Red Beach,28,Marama Crescent,"28 Orakei Street, Tahunanui, Nelson"
3895,Southshore,Christchurch,208,Tobago Crescent,"208 Guyton Street, Whanganui"
3900,Spotswood,Papamoa,104/20,Grampian Street,"104/20 Wyndham Street, Auckland Central, Auckland"
3910,Spreydon,Gore,3,East Coast Road,"3 Havelock Street, Mornington, Wellington"
3912,Springlands,Tauranga,3,Cowan Road,"3 Bullock Street, Allenton, Ashburton"
3920,Springvale,Auckland,161-169,Parawai Road,"161-169 Station Road, Penrose, Auckland"
3924,St Heliers,Waimate,13,High Street,"13 Victory Crescent, Tawa, Wellington"
3926,Stanley Point,Okato,30,Tuturu View,"30 Oakwood Mews, Prebbleton"
3940,Stanmore Bay,Whangarei,7,Gloucester Street,"7 Albert Street, Waihi"
3941,Stepneyville,Mapua,44,Bedford Road,"44 Puriri Street, Te Aroha"
3942,Stillwater,Hamilton,02 Sep,Seatoun Heights Road,"2/9 Castledine Crescent, Glen Innes, Auckland"
3943,Stoke,Papakura,63A,Takapu Street,"63A Sydney Street, Windsor, Invercargill"
3944,Stokes Valley,Whanganui,70,James Cook Street,"70 Poplar Lane, Edgecumbe"
3945,Stonefields,Wakefield,6,Huffey Street,"6 Romilly Court, Papakura"
3946,Strandon,Auckland,21,Kakahu Road,"21 Cheviot Street, Woodhill, Whangarei"
3947,Strathern,Wellington,26,Torquay Street,"26 Rugby Street, Highfield, Timaru"
3948,Strathmore Park,Auckland,72A,Butler Road,"72A Dyers Pass Road, Cashmere, Christchurch"
3949,Strowan,Auckland,54,Carlton Street,"54 Bledisloe Crescent, Wainuiomata, Lower Hutt"
3970,Styx,Hamilton,50,Ormsby Street,"50 Chiltons Road, Swannanoa"
3971,Sumner,Taumarunui,4279,Wairakei Avenue,"4279 Great North Road, Glendene, Auckland"
3972,Sunnyhills,Rangiora,18,Murphys Road,"18 Sample Road, Albany, Auckland"
3973,Sunnynook,Auckland,1/193,Waihola Highway,"1/193 Don Buck Road, Massey, Auckland"
3974,Sunnyvale,Auckland,21,McIvor Road,"21 Foyle Street, Oamaru North, Oamaru"
3975,Sunshine Bay,Riverton,87,Kiwi Street,"87 Manuwai Drive, Matua, Tauranga"
3976,Surfdale,Whangaparaoa,377,Gordon Street,"377 Breezes Road, Aranui, Christchurch"
3977,Swanson,Auckland,124,Sapperton Drive,"124 Mill Road, Otaki"
3978,Sydenham,Tauranga,6,Kimpton Road,"6 Seaview Avenue, Te Puru"
3979,Tahunanui,Whanganui,5,State Highway 4,"5 Arrowfield Drive, Pyes Pa, Tauranga"
3980,Tainui,Auckland,148,Puketapu Grove,"148 Hutt Road, Petone, Lower Hutt"
3981,Taita,Whangaparaoa,2,Opou Road,"2 La Mar Lane, Sumner, Christchurch"
3982,Takapuna,Wellington,85,Monte Cassino Place,"85 Red Beach Road, Red Beach"
3983,Takapuwahia,Auckland,347,Grey Street,"347 Foster Road, Waimauku"
3985,Takaro,Napier,10,Medway Street,"10 Meadowbank Rise, Bethlehem, Tauranga"
